N;Periodi;Inflazione annua;Inflazione mensile;Inflazione Media (Valore parziale);Indice Dal;Indice Al;
75;Marzo-2005  Marzo-2006;2,1%;0,2%;2,4%;126,4;129;
76;Aprile-2005  Aprile-2006;2,2%;0,3%;2,4%;126,6;129,4;
77;Maggio-2005  Maggio-2006;2,2%;0,3%;2,4%;127;129,8;
78;Giugno-2005  Giugno-2006;2,3%;0,1%;2,4%;127;129,9;
79;Luglio-2005  Luglio-2006;2,2%;0,3%;2,4%;127,5;130,3;
80;Agosto-2005  Agosto-2006;2,2%;0,2%;2,4%;127,7;130,5;
81;Settembre-2005  Settembre-2006;2,1%;-0,1%;2,4%;127,7;130,4;
82;Ottobre-2005  Ottobre-2006;1,8%;-0,1%;2,4%;128;130,3;
83;Novembre-2005  Novembre-2006;1,8%;0,1%;2,4%;128,1;130,4;
84;Dicembre-2005  Dicembre-2006;1,9%;0,1%;2,4%;128,1;130,5;
85;Gennaio-2006  Gennaio-2007;1,7%;0,1%;2,4%;128,4;130,6;
86;Febbraio-2006  Febbraio-2007;1,8%;0,3%;2,4%;128,7;131;
87;Marzo-2006  Marzo-2007;1,7%;0,2%;2,4%;129;131,2;
88;Aprile-2006  Aprile-2007;1,5%;0,2%;2,3%;129,4;131,4;
89;Maggio-2006  Maggio-2007;1,5%;0,3%;2,3%;129,8;131,8;
90;Giugno-2006  Giugno-2007;1,7%;0,2%;2,3%;129,9;132,1;
91;Luglio-2006  Luglio-2007;1,6%;0,2%;2,3%;130,3;132,4;
92;Agosto-2006  Agosto-2007;1,6%;0,2%;2,3%;130,5;132,6;
93;Settembre-2006  Settembre-2007;1,7%;0,0%;2,3%;130,4;132,6;
94;Ottobre-2006  Ottobre-2007;2,1%;0,3%;2,3%;130,3;133;
95;Novembre-2006  Novembre-2007;2,4%;0,4%;2,3%;130,4;133,5;
96;Dicembre-2006  Dicembre-2007;2,6%;0,3%;2,3%;130,5;133,9;
97;Gennaio-2007  Gennaio-2008;3,0%;0,4%;2,3%;130,6;134,5;
98;Febbraio-2007  Febbraio-2008;2,9%;0,2%;2,3%;131;134,8;
99;Marzo-2007  Marzo-2008;3,3%;0,5%;2,3%;131,2;135,5;
100;Aprile-2007  Aprile-2008;3,3%;0,2%;2,3%;131,4;135,8;
101;Maggio-2007  Maggio-2008;3,6%;0,5%;2,4%;131,8;136,5;
102;Giugno-2007  Giugno-2008;3,8%;0,4%;2,4%;132,1;137,1;
103;Luglio-2007  Luglio-2008;4,1%;0,5%;2,4%;132,4;137,8;
104;Agosto-2007  Agosto-2008;4,1%;0,1%;2,4%;132,6;138;
105;Settembre-2007  Settembre-2008;3,8%;-0,3%;2,4%;132,6;137,6;
106;Ottobre-2007  Ottobre-2008;3,5%;0,0%;2,4%;133;137,6;
107;Novembre-2007  Novembre-2008;2,7%;-0,4%;2,4%;133,5;137,1;
108;Dicembre-2007  Dicembre-2008;2,2%;-0,1%;2,4%;133,9;136,9;
109;Gennaio-2008  Gennaio-2009;1,6%;-0,1%;2,4%;134,5;136,7;
110;Febbraio-2008  Febbraio-2009;1,6%;0,2%;2,4%;134,8;137;
111;Marzo-2008  Marzo-2009;1,2%;0,1%;2,4%;135,5;137,1;
112;Aprile-2008  Aprile-2009;1,2%;0,2%;2,4%;135,8;137,4;
113;Maggio-2008  Maggio-2009;0,9%;0,2%;2,4%;136,5;137,7;
114;Giugno-2008  Giugno-2009;0,5%;0,1%;2,4%;137,1;137,8;
115;Luglio-2008  Luglio-2009;0,0%;0,0%;2,3%;137,8;137,8;
116;Agosto-2008  Agosto-2009;0,1%;0,3%;2,3%;138;138,2;
117;Settembre-2008  Settembre-2009;0,2%;-0,2%;2,3%;137,6;137,9;
118;Ottobre-2008  Ottobre-2009;0,3%;0,1%;2,3%;137,6;138;
119;Novembre-2008  Novembre-2009;0,7%;0,0%;2,3%;137,1;138;
120;Dicembre-2008  Dicembre-2009;1,0%;0,2%;2,2%;136,9;138,3;
121;Gennaio-2009  Gennaio-2010;1,3%;0,1%;2,2%;136,7;138,5;
122;Febbraio-2009  Febbraio-2010;1,2%;0,1%;2,2%;137;138,6;
123;Marzo-2009  Marzo-2010;1,4%;0,3%;2,2%;137,1;139;
124;Aprile-2009  Aprile-2010;1,5%;0,4%;2,2%;137,4;139,5;
125;Maggio-2009  Maggio-2010;1,4%;0,1%;2,2%;137,7;139,6;
126;Giugno-2009  Giugno-2010;1,3%;0,0%;2,2%;137,8;139,6;
127;Luglio-2009  Luglio-2010;1,7%;0,4%;2,2%;137,8;140,1;
128;Agosto-2009  Agosto-2010;1,6%;0,2%;2,2%;138,2;140,4;
129;Settembre-2009  Settembre-2010;1,6%;-0,2%;2,2%;137,9;140,1;
